REGION,TECHNOLOGY,YEAR,VALUE
NORDESTE,biomass,2024,1
NORDESTE,biomass,2025,1
NORDESTE,biomass,2026,1
NORDESTE,biomass,2027,1
NORDESTE,biomass,2028,1
NORDESTE,biomass,2029,1
NORDESTE,biomass,2030,1
NORDESTE,coal,2024,1
NORDESTE,coal,2025,1
NORDESTE,coal,2026,1
NORDESTE,coal,2027,1
NORDESTE,coal,2028,1
NORDESTE,coal,2029,1
NORDESTE,coal,2030,1
NORDESTE,oil,2024,1
NORDESTE,oil,2025,1
NORDESTE,oil,2026,1
NORDESTE,oil,2027,1
NORDESTE,oil,2028,1
NORDESTE,oil,2029,1
NORDESTE,oil,2030,1
NORDESTE,gas,2024,1
NORDESTE,gas,2025,1
NORDESTE,gas,2026,1
NORDESTE,gas,2027,1
NORDESTE,gas,2028,1
NORDESTE,gas,2029,1
NORDESTE,gas,2030,1
NORDESTE,hydro,2024,1
NORDESTE,hydro,2025,1
NORDESTE,hydro,2026,1
NORDESTE,hydro,2027,1
NORDESTE,hydro,2028,1
NORDESTE,hydro,2029,1
NORDESTE,hydro,2030,1
NORDESTE,nuclear,2024,1
NORDESTE,nuclear,2025,1
NORDESTE,nuclear,2026,1
NORDESTE,nuclear,2027,1
NORDESTE,nuclear,2028,1
NORDESTE,nuclear,2029,1
NORDESTE,nuclear,2030,1
SUL,biomass,2024,1
SUL,biomass,2025,1
SUL,biomass,2026,1
SUL,biomass,2027,1
SUL,biomass,2028,1
SUL,biomass,2029,1
SUL,biomass,2030,1
SUL,coal,2024,1
SUL,coal,2025,1
SUL,coal,2026,1
SUL,coal,2027,1
SUL,coal,2028,1
SUL,coal,2029,1
SUL,coal,2030,1
SUL,oil,2024,1
SUL,oil,2025,1
SUL,oil,2026,1
SUL,oil,2027,1
SUL,oil,2028,1
SUL,oil,2029,1
SUL,oil,2030,1
SUL,gas,2024,1
SUL,gas,2025,1
SUL,gas,2026,1
SUL,gas,2027,1
SUL,gas,2028,1
SUL,gas,2029,1
SUL,gas,2030,1
SUL,hydro,2024,1
SUL,hydro,2025,1
SUL,hydro,2026,1
SUL,hydro,2027,1
SUL,hydro,2028,1
SUL,hydro,2029,1
SUL,hydro,2030,1
SUL,nuclear,2024,1
SUL,nuclear,2025,1
SUL,nuclear,2026,1
SUL,nuclear,2027,1
SUL,nuclear,2028,1
SUL,nuclear,2029,1
SUL,nuclear,2030,1
NORTE,biomass,2024,1
NORTE,biomass,2025,1
NORTE,biomass,2026,1
NORTE,biomass,2027,1
NORTE,biomass,2028,1
NORTE,biomass,2029,1
NORTE,biomass,2030,1
NORTE,coal,2024,1
NORTE,coal,2025,1
NORTE,coal,2026,1
NORTE,coal,2027,1
NORTE,coal,2028,1
NORTE,coal,2029,1
NORTE,coal,2030,1
NORTE,oil,2024,1
NORTE,oil,2025,1
NORTE,oil,2026,1
NORTE,oil,2027,1
NORTE,oil,2028,1
NORTE,oil,2029,1
NORTE,oil,2030,1
NORTE,gas,2024,1
NORTE,gas,2025,1
NORTE,gas,2026,1
NORTE,gas,2027,1
NORTE,gas,2028,1
NORTE,gas,2029,1
NORTE,gas,2030,1
NORTE,hydro,2024,1
NORTE,hydro,2025,1
NORTE,hydro,2026,1
NORTE,hydro,2027,1
NORTE,hydro,2028,1
NORTE,hydro,2029,1
NORTE,hydro,2030,1
NORTE,nuclear,2024,1
NORTE,nuclear,2025,1
NORTE,nuclear,2026,1
NORTE,nuclear,2027,1
NORTE,nuclear,2028,1
NORTE,nuclear,2029,1
NORTE,nuclear,2030,1
SUDESTE,biomass,2024,1
SUDESTE,biomass,2025,1
SUDESTE,biomass,2026,1
SUDESTE,biomass,2027,1
SUDESTE,biomass,2028,1
SUDESTE,biomass,2029,1
SUDESTE,biomass,2030,1
SUDESTE,coal,2024,1
SUDESTE,coal,2025,1
SUDESTE,coal,2026,1
SUDESTE,coal,2027,1
SUDESTE,coal,2028,1
SUDESTE,coal,2029,1
SUDESTE,coal,2030,1
SUDESTE,oil,2024,1
SUDESTE,oil,2025,1
SUDESTE,oil,2026,1
SUDESTE,oil,2027,1
SUDESTE,oil,2028,1
SUDESTE,oil,2029,1
SUDESTE,oil,2030,1
SUDESTE,gas,2024,1
SUDESTE,gas,2025,1
SUDESTE,gas,2026,1
SUDESTE,gas,2027,1
SUDESTE,gas,2028,1
SUDESTE,gas,2029,1
SUDESTE,gas,2030,1
SUDESTE,hydro,2024,1
SUDESTE,hydro,2025,1
SUDESTE,hydro,2026,1
SUDESTE,hydro,2027,1
SUDESTE,hydro,2028,1
SUDESTE,hydro,2029,1
SUDESTE,hydro,2030,1
SUDESTE,nuclear,2024,1
SUDESTE,nuclear,2025,1
SUDESTE,nuclear,2026,1
SUDESTE,nuclear,2027,1
SUDESTE,nuclear,2028,1
SUDESTE,nuclear,2029,1
SUDESTE,nuclear,2030,1
