REGION,TECHNOLOGY,YEAR,VALUE
SIN,biomass,2015,1
SIN,biomass,2016,1
SIN,biomass,2017,1
SIN,biomass,2018,1
SIN,biomass,2019,1
SIN,biomass,2020,1
SIN,biomass,2021,1
SIN,biomass,2022,1
SIN,biomass,2023,1
SIN,biomass,2024,1
SIN,biomass,2025,1
SIN,biomass,2026,1
SIN,biomass,2027,1
SIN,biomass,2028,1
SIN,biomass,2029,1
SIN,biomass,2030,1
SIN,biomass,2031,1
SIN,biomass,2032,1
SIN,biomass,2033,1
SIN,biomass,2034,1
SIN,biomass,2035,1
SIN,biomass,2036,1
SIN,biomass,2037,1
SIN,biomass,2038,1
SIN,biomass,2039,1
SIN,biomass,2040,1
SIN,biomass,2041,1
SIN,biomass,2042,1
SIN,biomass,2043,1
SIN,biomass,2044,1
SIN,biomass,2045,1
SIN,biomass,2046,1
SIN,biomass,2047,1
SIN,biomass,2048,1
SIN,biomass,2049,1
SIN,biomass,2050,1
SIN,coal,2015,1
SIN,coal,2016,1
SIN,coal,2017,1
SIN,coal,2018,1
SIN,coal,2019,1
SIN,coal,2020,1
SIN,coal,2021,1
SIN,coal,2022,1
SIN,coal,2023,1
SIN,coal,2024,1
SIN,coal,2025,1
SIN,coal,2026,1
SIN,coal,2027,1
SIN,coal,2028,1
SIN,coal,2029,1
SIN,coal,2030,1
SIN,coal,2031,1
SIN,coal,2032,1
SIN,coal,2033,1
SIN,coal,2034,1
SIN,coal,2035,1
SIN,coal,2036,1
SIN,coal,2037,1
SIN,coal,2038,1
SIN,coal,2039,1
SIN,coal,2040,1
SIN,coal,2041,1
SIN,coal,2042,1
SIN,coal,2043,1
SIN,coal,2044,1
SIN,coal,2045,1
SIN,coal,2046,1
SIN,coal,2047,1
SIN,coal,2048,1
SIN,coal,2049,1
SIN,coal,2050,1
SIN,oil,2015,1
SIN,oil,2016,1
SIN,oil,2017,1
SIN,oil,2018,1
SIN,oil,2019,1
SIN,oil,2020,1
SIN,oil,2021,1
SIN,oil,2022,1
SIN,oil,2023,1
SIN,oil,2024,1
SIN,oil,2025,1
SIN,oil,2026,1
SIN,oil,2027,1
SIN,oil,2028,1
SIN,oil,2029,1
SIN,oil,2030,1
SIN,oil,2031,1
SIN,oil,2032,1
SIN,oil,2033,1
SIN,oil,2034,1
SIN,oil,2035,1
SIN,oil,2036,1
SIN,oil,2037,1
SIN,oil,2038,1
SIN,oil,2039,1
SIN,oil,2040,1
SIN,oil,2041,1
SIN,oil,2042,1
SIN,oil,2043,1
SIN,oil,2044,1
SIN,oil,2045,1
SIN,oil,2046,1
SIN,oil,2047,1
SIN,oil,2048,1
SIN,oil,2049,1
SIN,oil,2050,1
SIN,gas,2015,1
SIN,gas,2016,1
SIN,gas,2017,1
SIN,gas,2018,1
SIN,gas,2019,1
SIN,gas,2020,1
SIN,gas,2021,1
SIN,gas,2022,1
SIN,gas,2023,1
SIN,gas,2024,1
SIN,gas,2025,1
SIN,gas,2026,1
SIN,gas,2027,1
SIN,gas,2028,1
SIN,gas,2029,1
SIN,gas,2030,1
SIN,gas,2031,1
SIN,gas,2032,1
SIN,gas,2033,1
SIN,gas,2034,1
SIN,gas,2035,1
SIN,gas,2036,1
SIN,gas,2037,1
SIN,gas,2038,1
SIN,gas,2039,1
SIN,gas,2040,1
SIN,gas,2041,1
SIN,gas,2042,1
SIN,gas,2043,1
SIN,gas,2044,1
SIN,gas,2045,1
SIN,gas,2046,1
SIN,gas,2047,1
SIN,gas,2048,1
SIN,gas,2049,1
SIN,gas,2050,1
SIN,hydro,2015,1
SIN,hydro,2016,1
SIN,hydro,2017,1
SIN,hydro,2018,1
SIN,hydro,2019,1
SIN,hydro,2020,1
SIN,hydro,2021,1
SIN,hydro,2022,1
SIN,hydro,2023,1
SIN,hydro,2024,1
SIN,hydro,2025,1
SIN,hydro,2026,1
SIN,hydro,2027,1
SIN,hydro,2028,1
SIN,hydro,2029,1
SIN,hydro,2030,1
SIN,hydro,2031,1
SIN,hydro,2032,1
SIN,hydro,2033,1
SIN,hydro,2034,1
SIN,hydro,2035,1
SIN,hydro,2036,1
SIN,hydro,2037,1
SIN,hydro,2038,1
SIN,hydro,2039,1
SIN,hydro,2040,1
SIN,hydro,2041,1
SIN,hydro,2042,1
SIN,hydro,2043,1
SIN,hydro,2044,1
SIN,hydro,2045,1
SIN,hydro,2046,1
SIN,hydro,2047,1
SIN,hydro,2048,1
SIN,hydro,2049,1
SIN,hydro,2050,1
SIN,nuclear,2015,1
SIN,nuclear,2016,1
SIN,nuclear,2017,1
SIN,nuclear,2018,1
SIN,nuclear,2019,1
SIN,nuclear,2020,1
SIN,nuclear,2021,1
SIN,nuclear,2022,1
SIN,nuclear,2023,1
SIN,nuclear,2024,1
SIN,nuclear,2025,1
SIN,nuclear,2026,1
SIN,nuclear,2027,1
SIN,nuclear,2028,1
SIN,nuclear,2029,1
SIN,nuclear,2030,1
SIN,nuclear,2031,1
SIN,nuclear,2032,1
SIN,nuclear,2033,1
SIN,nuclear,2034,1
SIN,nuclear,2035,1
SIN,nuclear,2036,1
SIN,nuclear,2037,1
SIN,nuclear,2038,1
SIN,nuclear,2039,1
SIN,nuclear,2040,1
SIN,nuclear,2041,1
SIN,nuclear,2042,1
SIN,nuclear,2043,1
SIN,nuclear,2044,1
SIN,nuclear,2045,1
SIN,nuclear,2046,1
SIN,nuclear,2047,1
SIN,nuclear,2048,1
SIN,nuclear,2049,1
SIN,nuclear,2050,1
